rm_id,rm_level,rm_join_year,rm_status
RM001,Junior,2019,Active
RM002,Senior,2018,Active
RM003,Junior,2020,Active
RM004,Senior,2019,Active
RM005,Junior,2016,Active
RM006,Senior,2013,Active
RM007,Senior,2016,Active
RM008,Junior,2019,Active
RM009,Junior,2021,Active
RM010,Senior,2020,Active
RM011,Senior,2020,Active
RM012,Junior,2012,Active
RM013,Junior,2020,Active
RM014,Junior,2018,Active
RM015,Junior,2020,Active
RM016,Senior,2019,Active
RM017,Senior,2012,Active
RM018,Senior,2019,Active
RM019,Junior,2019,Active
RM020,Junior,2022,Active
RM021,Junior,2014,Active
RM022,Senior,2012,Active
RM023,Junior,2019,Active
RM024,Junior,2014,Active
RM025,Senior,2014,Active
RM026,Junior,2012,Active
RM027,Senior,2022,Active
RM028,Junior,2016,Active
RM029,Junior,2021,Active
RM030,Senior,2018,Active
